Date,CSX,UNP
2015-01-02,10.186245918273926,94.3549575805664
2015-01-05,9.910633087158203,91.16496276855469
2015-01-06,9.515687942504883,89.27960968017578
2015-01-07,9.640703201293945,89.77283477783203
2015-01-08,9.794139862060547,93.13780975341797
2015-01-09,9.774250984191895,91.46726989746094
2015-01-12,9.635022163391113,90.663818359375
2015-01-13,9.532734870910645,88.96141052246094
2015-01-14,9.561147689819336,88.58753204345703
2015-01-15,9.691849708557129,88.1420669555664
2015-01-16,9.904951095581055,89.0171127319336
2015-01-20,9.814027786254883,90.64789581298828
2015-01-21,9.859489440917969,91.0058822631836
2015-01-22,10.015766143798828,95.32544708251953
2015-01-23,9.794139862060547,95.53229522705078
2015-01-26,9.933363914489746,96.51873016357422
2015-01-27,9.751518249511719,96.14482879638672
2015-01-28,9.575352668762207,94.78451538085938
2015-01-29,9.59240436553955,95.53229522705078
2015-01-30,9.461702346801758,93.24121856689453
2015-02-02,9.569671630859375,94.67313385009766
2015-02-03,9.848127365112305,96.88465881347656
2015-02-04,9.822554588317871,95.81073760986328
2015-02-05,10.001557350158691,97.72789001464844
2015-02-06,10.069748878479004,96.90058898925781
2015-02-09,10.0299711227417,95.02316284179688
2015-02-10,10.095324516296387,96.15277862548828
2015-02-11,10.21181583404541,97.16307067871094
2015-02-12,10.390823364257812,98.50751495361328
2015-02-13,10.251598358154297,97.52903747558594
2015-02-17,10.186245918273926,97.48128509521484
2015-02-18,10.055542945861816,98.12562561035156
2015-02-19,10.095324516296387,97.01988983154297
2015-02-20,10.101005554199219,98.37223815917969
2015-02-23,10.16351318359375,98.44386291503906
2015-02-24,10.106689453125,97.6006088256836
2015-02-25,10.049603462219238,97.82433319091797
2015-02-26,9.792729377746582,96.49787139892578
2015-02-27,9.792729377746582,96.09832763671875
2015-03-02,9.895474433898926,96.48987579345703
2015-03-03,9.738497734069824,94.65996551513672
2015-03-04,9.772746086120605,94.46021270751953
2015-03-05,9.669994354248047,94.55606079101562
2015-03-06,9.612910270690918,93.0538101196289
2015-03-09,9.689974784851074,93.62915802001953
2015-03-10,9.541557312011719,91.69535064697266
2015-03-11,9.607206344604492,91.32776641845703
2015-03-12,9.755621910095215,91.99899291992188
2015-03-13,9.741353034973145,91.51155090332031
2015-03-16,9.892623901367188,93.26954650878906
2015-03-17,9.884061813354492,93.02982330322266
2015-03-18,10.006789207458496,94.11659240722656
2015-03-19,9.918310165405273,93.93280029296875
2015-03-20,10.035331726074219,93.85289001464844
2015-03-23,9.618619918823242,90.12117004394531
2015-03-24,9.635746955871582,89.90538024902344
2015-03-25,9.507308006286621,88.554931640625
2015-03-26,9.495891571044922,86.43737030029297
2015-03-27,9.475909233093262,86.65311431884766
2015-03-30,9.518725395202637,87.9715805053711
2015-03-31,9.453076362609863,86.54923248291016
2015-04-01,9.547266960144043,85.77412414550781
2015-04-02,9.510160446166992,85.60629272460938
2015-04-06,9.487329483032227,85.00698852539062
2015-04-07,9.57580852508545,86.17363739013672
2015-04-08,9.490181922912598,86.40541076660156
2015-04-09,9.644309043884277,87.73188781738281
2015-04-10,9.632893562316895,89.03437805175781
2015-04-13,9.441658020019531,86.67707061767578
2015-04-14,9.478765487670898,86.43737030029297
2015-04-15,9.378867149353027,85.82203674316406
2015-04-16,9.253288269042969,86.58119201660156
2015-04-17,9.5044527053833,86.63713836669922
2015-04-20,9.958270072937012,88.25128173828125
2015-04-21,10.08956241607666,87.50012969970703
2015-04-22,10.349295616149902,88.48307037353516
2015-04-23,10.529109001159668,86.39741516113281
2015-04-24,10.59475326538086,85.90995025634766
2015-04-27,10.534815788269043,85.90995025634766
2015-04-28,10.50627326965332,86.21361541748047
2015-04-29,10.546234130859375,85.4384765625
2015-04-30,10.300772666931152,84.88712310791016
2015-05-01,10.69179630279541,86.06977081298828
2015-05-04,10.449190139770508,86.2934799194336
2015-05-05,10.106689453125,84.6553726196289
2015-05-06,10.175189018249512,85.44648742675781
2015-05-07,10.249394416809082,85.7501449584961
2015-05-08,10.469171524047852,85.85398864746094
2015-05-11,10.292211532592773,85.30265808105469
2015-05-12,10.186604499816895,84.51954650878906
2015-05-13,9.926873207092285,81.81858825683594
2015-05-14,9.961125373840332,81.57889556884766
2015-05-15,10.132375717163086,82.96930694580078
2015-05-18,10.198023796081543,83.0652084350586
2015-05-19,10.160919189453125,83.12112426757812
2015-05-20,10.066725730895996,82.52981567382812
2015-05-21,10.146644592285156,83.8722915649414
2015-05-22,10.123811721801758,83.26497650146484
2015-05-26,9.926873207092285,82.22618103027344
2015-05-27,10.07032585144043,82.4430923461914
2015-05-28,9.961304664611816,81.43080139160156
2015-05-29,9.77768325805664,81.06929779052734
2015-06-01,9.823587417602539,81.88872528076172
2015-06-02,9.783421516418457,81.62364196777344
2015-06-03,9.783421516418457,81.93692016601562
2015-06-04,9.76620864868164,81.73609161376953
2015-06-05,9.87810230255127,82.16990661621094
2015-06-08,9.763338088989258,80.90862274169922
2015-06-09,9.685873031616211,80.09718322753906
2015-06-10,9.74612045288086,80.07308959960938
2015-06-11,10.033029556274414,81.07730865478516
2015-06-12,9.969908714294434,80.73989868164062
2015-06-15,9.946956634521484,80.75595092773438
2015-06-16,9.921134948730469,80.75595092773438
2015-06-17,9.989991188049316,81.28619384765625
2015-06-18,10.196563720703125,82.19400787353516
2015-06-19,10.03876781463623,81.2701187133789
2015-06-22,10.05597972869873,81.49505615234375
2015-06-23,10.001469612121582,81.2621078491211
2015-06-24,9.72317123413086,78.93229675292969
2015-06-25,9.668657302856445,77.90394592285156
